102123	ταβαίτας	A	I	1	a	wooden bowl	urn:cts:greekLit:tlg0008.tlg001.perseus-grc1:14:500d
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:13:410
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:14:226
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:17:423
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:332
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:5:438
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:1:152
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:5:422
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:8:160
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:11:364
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:14:63
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:15:324
102752	τε1	B	I	5	a	usual	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:379
102752	τε1	B	II	1	a	which	urn:cts:greekLit:tlg0525.tlg001.perseus-grc1:6:26:1
102752	τε1	B	II	1	a	which	urn:cts:greekLit:tlg0525.tlg001.perseus-grc1:9:31:5
102752	τε1	B	II	1	a	which	urn:cts:greekLit:tlg0544.tlg002:11:28
102752	τε1	C	I	3	a	mark you	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:174
102752	τε1	C	I	3	a	mark you	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:477
102752	τε1	C	I	3	a	mark you	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:187
102752	τε1	C	I	3	a	mark you	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:21:169
102752	τε1	C	I	3	a	mark you	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24:52
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:17:270
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:1:227
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16:28
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:22:166
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24:83
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:10:317
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21:456
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:19:342
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:10:466
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:20:252
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:406
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21:248
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:730
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:437
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21:596
102752	τε1	C	I	4	a	so	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:709
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:18
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:14:203
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3:189
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13:335
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:259
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:803
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:10:286
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:22:102
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:7:323
102752	τε1	C	I	5	a	when	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:18:257
102752	τε1	C	I	6	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:244
102752	τε1	C	I	6	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:412
102752	τε1	C	I	6	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:32
102752	τε1	C	I	6	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6:126
102752	τε1	C	I	6	a	that	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:5:357
102752	τε1	C	I	7	a	when	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102752	τε1	C	I	7	a	when	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:12:393
102752	τε1	C	I	9	a	or	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:42
102752	τε1	C	I	9	a	or	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:19:148
102752	τε1	C	I	9	a	or	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:16:216
102752	τε1	C	I	10	a	also	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:5:29
102752	τε1	C	I	10	a	also	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:17:273
102752	τε1	C	I	10	a	also	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:483
102752	τε1	C	I	10	a	also	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102752	τε1	C	I	10	a	also	urn:cts:greekLit:tlg0034.tlg001.perseus-grc1:100
102752	τε1	C	I	10	a	also	Perseus:abo:pap,P.Cair.Zen.:18:1
102752	τε1	C	I	10	a	also	http://www.trismegistos.org/text/78720
102752	τε1	C	I	10	a	also	Perseus:abo:pap,P.Tebt.:27:74
102752	τε1	C	I	10	a	also	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102752	τε1	C	I	10	c	even	urn:cts:greekLit:tlg0086.tlg035.perseus-grc1:1333a:2
102752	τε1	C	I	10	c	even	urn:cts:greekLit:tlg0031.tlg008.perseus-grc1:10:8
102752	τε1	C	I	10	c	even	urn:cts:greekLit:tlg0031.tlg006.perseus-grc1:7:7
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6:317
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2:136
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:505
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:7:295
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:42
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:291
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:69
102752	τε1	D	I	1	a	both	Perseus:abo:pap,P.Enteux.:6:6
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:537a
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0059.tlg031:70b
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0006.tlg016.perseus-grc1:897
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0085.tlg006.perseus-grc1:41
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:210
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:544
102752	τε1	D	I	1	a	both	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:665
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:880e
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg4063.tlg001:25
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:366
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:560
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:127
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:866d
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:540
102759	τέγγω	A	I	1	a	wet, moisten	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:402
102760	α2	A	I	1	a	to be moistened	urn:cts:greekLit:tlg0199.tlg001:5:157
102760	α2	A	I	1	a	to be moistened	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:1209
102760	α2	A	I	1	a	to be moistened	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:854
102760	α2	A	I	1	a	to be moistened	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:1065
102760	α2	A	I	2	a	shed	urn:cts:greekLit:tlg0033.tlg003.perseus-grc1:10:75
102760	α2	A	I	2	a	shed	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:848
102760	α2	A	I	2	a	shed	urn:cts:greekLit:tlg0011.tlg004.perseus-grc1:1279
102760	α2	A	I	3	a	soak	urn:cts:greekLit:tlg0086.tlg026:385b:22
102760	α2	A	I	3	a	soak	urn:cts:greekLit:tlg0086.tlg036:869b:25
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0033.tlg003.perseus-grc1:4:4
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:1008
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:303
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0019.tlg007.perseus-grc1:550
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:361c
102760	α2	A	II	1	a	soften	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:880e
102760	α2	A	III	1	a	dye, stain	urn:cts:greekLit:tlg0033.tlg001.perseus-grc1:4:19
102761	Τεγέα	A	I	1	a	of	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:65
102761	Τεγέα	A	I	1	a	of	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:111
102761	Τεγέα	A	I	1	a	of	urn:cts:greekLit:tlg0004.tlg001.perseus-grc1:6:61
102761	Τεγέα	A	I	1	a	of	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:5:65
102761	Τεγέα	A	I	1	a	of	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:8:124
102763	τέγεος	A	I	1	a	at	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6:248
102763	τέγεος	A	I	2	a	roofed	urn:cts:greekLit:tlg1342.tlg001:142
102763	τέγεος	A	I	2	a	roofed	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:
102763	τέγεος	A	I	2	a	roofed	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102766	τεγκτός	A	I	1	a	capable of being softened in water	urn:cts:greekLit:tlg0086.tlg026:385b:13
102767	τέγξις	A	I	1	a	wetting, moistening	urn:cts:greekLit:tlg0627.tlg006.perseus-grc1:6:8:9
102767	τέγξις	A	I	1	a	wetting, moistening	urn:cts:greekLit:tlg0719.tlg003.perseus-grc1:2:1
102767	τέγξις	A	I	1	a	wetting, moistening	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102767	τέγξις	A	I	1	a	wetting, moistening	urn:cts:greekLit:tlg0719.tlg003.perseus-grc1:1:1
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:1:333
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:10:559
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:11:64
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0019.tlg003.perseus-grc1:1126
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0019.tlg003.perseus-grc1:1488
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0541.tlg029:246
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0650.tlg001:3:40
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0019.tlg003.perseus-grc1:1502
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:68
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0019.tlg001.perseus-grc1:262
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0540.tlg003.perseus-grc1:11
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:48
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0032.tlg007.perseus-grc1:7:5:22
102768	τέγος	A	I	1	a	roof	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:4:4:12
102768	τέγος	A	II	1	a	covered hall	urn:cts:greekLit:tlg0033.tlg002.perseus-grc1:5:41
102768	τέγος	A	II	1	a	covered hall	urn:cts:greekLit:tlg0033.tlg003.perseus-grc1:3:54
102768	τέγος	A	III	1	a	brothel, stew,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102768	τέγος	A	III	1	a	brothel, stew,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102768	τέγος	A	III	1	a	brothel, stew,	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:12:13:2
102768	τέγος	A	III	1	a	brothel, stew,	urn:cts:greekLit:tlg2583.tlg001:6:143
102770	τεθαρρηκότως	A	I	1	a	boldly	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:2:10:7
102770	τεθαρρηκότως	A	I	1	a	boldly	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:9:9:8
102770	τεθαρρηκότως	A	I	1	a	boldly	urn:cts:greekLit:tlg1595.tlg080:18
102770	τεθαρρηκότως	A	I	1	a	boldly	urn:cts:greekLit:tlg0060.tlg001.perseus-grc3:4:17
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:23:105
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:243
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21:64
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg1562.tlg001:6:7
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg1342.tlg001:17:21
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:6:166
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:2:156
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0062.tlg033:42
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9:193
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:16:12
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:545
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0033.tlg002.perseus-grc1:4:95
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0199.tlg002:16:86
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:48
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0001.tlg001.perseus-grc1:2:207
102772	τέθηπα	A	I	1	a	to be astonished, astounded, amazed	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:999
102772	τέθηπα	A	I	2	a	wonder	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102772	τέθηπα	A	I	2	a	wonder	urn:cts:greekLit:tlg0062.tlg022:28
102772	τέθηπα	A	I	2	a	wonder	urn:cts:greekLit:tlg0062.tlg022:56
102772	τέθηπα	A	I	2	a	wonder	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:6:168
102775	τεθνακοχαλκίδας	A	I	1	a	one who would die for a farthing	urn:cts:greekLit:tlg1250.tlg001:4:11
102777	τεθορυβημένως	A	I	1	a	tumultuously, in a disorderly manner	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:5:3:5
102778	τεθράϊος	A	I	1	a	quadrivium,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102779	τεθριππεύω	A	I	1	a	drive a four-horse chariot	Eur. Fr. 228.5
102781	τεθριπποβάτης	A	I	1	a	driver of a four-horse chariot	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:4:170
102782	τέθριππος	A	I	1	a	with four horses yoked abreast	urn:cts:greekLit:tlg0033.tlg004.perseus-grc1:1:14
102782	τέθριππος	A	I	1	a	with four horses yoked abreast	urn:cts:greekLit:tlg0085.tlg008:346
102782	τέθριππος	A	I	1	a	with four horses yoked abreast	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:1212
102782	τέθριππος	A	I	1	a	with four horses yoked abreast	urn:cts:greekLit:tlg0006.tlg012.perseus-grc1:866
102782	τέθριππος	A	I	1	a	with four horses yoked abreast	urn:cts:greekLit:tlg0006.tlg014.perseus-grc1:386
102782	τέθριππος	A	I	1	a	with four horses yoked abreast	urn:cts:greekLit:tlg1600.tlg001:1:17
102782	τέθριππος	A	II	1	a	four-horse chariot	urn:cts:greekLit:tlg0033.tlg001.perseus-grc1:2:50
102782	τέθριππος	A	II	1	a	four-horse chariot	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:6:103
102782	τέθριππος	A	II	1	a	four-horse chariot	urn:cts:greekLit:tlg0006.tlg002.perseus-grc1:428
102782	τέθριππος	A	II	1	a	four-horse chariot	urn:cts:greekLit:tlg0059.tlg020:205c
102782	τέθριππος	A	II	1	a	four-horse chariot	urn:cts:greekLit:tlg0019.tlg003.perseus-grc1:1407
102782	τέθριππος	A	II	1	a	four-horse chariot	urn:cts:greekLit:tlg0033.tlg002.perseus-grc1:1:59
102782	τέθριππος	A	II	1	a	four-horse chariot	urn:cts:greekLit:tlg0006.tlg009.perseus-grc1:177
102783	τεθριπποτροφέω	A	I	1	a	keep a team of four horses	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:6:125
102784	τεθριπποτρόφος	A	I	1	a	keeping a team of four horses	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:35
102785	τεθρυλημένως	A	I	1	a	as is well known	urn:cts:greekLit:tlg0542.tlg001:6:207
102786	τεθρυμμένως	A	I	1	a	wantonly, effeminately	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0521.tlg001:99
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0521.tlg005:1:1
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:5:32
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0020.tlg002.perseus-grc1:635
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:631
102788	τεῖδε	A	I	1	a	here	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102791	τεῖνδε	A	I	1	a	here	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:5:118
102791	τεῖνδε	A	I	1	a	here	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:5:32
102791	τεῖνδε	A	I	1	a	here	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:8:40
102792	τεινεσμός	A	I	1	a	a vain endeavour to evacuate	urn:cts:greekLit:tlg0627.tlg012.perseus-grc1:7:27
102792	τεινεσμός	A	I	1	a	a vain endeavour to evacuate	urn:cts:greekLit:tlg0627.tlg006.perseus-grc1:1:5
102792	τεινεσμός	A	I	1	a	a vain endeavour to evacuate	urn:cts:greekLit:tlg0565.tlg001:2:12
102792	τεινεσμός	A	I	1	a	a vain endeavour to evacuate	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102793	τεινεσμώδης	A	I	1	a	like a	urn:cts:greekLit:tlg0627.tlg006.perseus-grc1:1:26
102793	τεινεσμώδης	A	I	1	a	like a	urn:cts:greekLit:tlg0719.tlg001.perseus-grc1:2:5
102793	τεινεσμώδης	A	I	1	a	like a	urn:cts:greekLit:tlg0565.tlg001:2:20
102793	τεινεσμώδης	A	I	1	a	like a	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102793	τεινεσμώδης	A	I	1	a	like a	urn:cts:greekLit:tlg0722.tlg001:8:24:24
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:536
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:124
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:364
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:262
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:716
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0565.tlg001:1:73
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0001.tlg001.perseus-grc1:2:1043
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0579.tlg002:589
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3:372
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:14:404
102795	τείνω	A	I	1	a	stretch	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:11:11
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:20:101
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:12:436
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:413
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0020.tlg001.perseus-grc1:638
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:543
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:375
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:758
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:8:121
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:574
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0033.tlg004.perseus-grc1:1:49
102795	τείνω	A	I	2	a	stretch	urn:cts:greekLit:tlg0033.tlg002.perseus-grc1:11:54
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16:365
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:11:19
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0020.tlg002.perseus-grc1:549
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0011.tlg006.perseus-grc1:831
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:616b
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:124
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0032.tlg014.perseus-grc1:6:9
102795	τείνω	A	I	3	a	stretch out, spread	urn:cts:greekLit:tlg0059.tlg031:34b
102795	τείνω	A	I	3	b	lengthen	urn:cts:greekLit:tlg0082.tlg001:55:1
102795	τείνω	A	I	3	b	lengthen	urn:cts:greekLit:tlg0082.tlg001:27:25
102795	τείνω	A	I	3	b	lengthen	urn:cts:greekLit:tlg0082.tlg001:11:1
102795	τείνω	A	I	4	a	aim at, direct towards	urn:cts:greekLit:tlg0011.tlg006.perseus-grc1:198
102795	τείνω	A	I	4	a	aim at, direct towards	urn:cts:greekLit:tlg0006.tlg007.perseus-grc1:263
102795	τείνω	A	I	4	a	aim at, direct towards	urn:cts:greekLit:tlg0006.tlg008.perseus-grc1:672
102795	τείνω	A	I	4	a	aim at, direct towards	urn:cts:greekLit:tlg0059.tlg004.perseus-grc1:63a
102795	τείνω	A	I	4	a	aim at, direct towards	urn:cts:greekLit:tlg0006.tlg019.perseus-grc1:875
102795	τείνω	A	I	4	a	aim at, direct towards	urn:cts:greekLit:tlg0059.tlg012:271a
102795	τείνω	A	I	4	a	aim at, direct towards	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:770d
