index	doc	subdoc	word	lemma	form	sense_1	sense_2	sense_3	sense_4	translation	vectors
24	0014-023	93	2278945	ἀρχή	ἀρχὴν	A	I	1	c	to begin with, at first,	1.2623131112624, 0.688466614579496, 0.688466614579496, 1.05068849936645, -0.471106822956158, -0.45471103872359, 0.643880645823143, 0.770667343121125, 0.66635058869035, 0.909437236269018, -0.319770503523126, -0.0940178765518467, 0.502594513847425, -0.458882095963273, -0.653641558336272, 0.15381033204089, -0.555646286592053, -0.238820561017476, 0.478741571598026, 0.231953307212314, -0.132644136913811, 0.245475705739981, 0.611980509989771, 0.0860629190033054, 0.126021189507025, -0.263198782648082, -0.293264253880555, 0.263904650512974, 0.0043595891808797, 0.465679042315529, -0.206794810148377, -0.1241810236501889, 0.0463904642030606, 0.0541034343478359, -0.139982586944378, -0.000634475291009973, -0.256001560689542, -0.0625890751062521, 0.0099493125909479, 0.209528920285844, -0.0022703159637539, 0.0616042984747009, -0.0119818107872001, 0.522012841755036, -0.193156132654379, -0.0286716800019675, -0.0385295743795093, -0.131677810236922, -0.0389155398417267, 0.366532770789753, 0.0389753031606544, -0.205860923146423, 0.0091810632317471, 0.253099816333297, -0.0208245183908686, 0.0614469666351203, -0.219878429723321, 0.034822431858637, 0.301722286906956, 0.325086953295833, 0.0118183375566769, -0.135092500398062, -0.4875653225966641, -0.220563648156698, -0.0307625598695028, 0.398955511702384, 0.268512078101225, -0.314770408632345, 0.0408062107273727, 0.219855206228315, 0.247815249784236, 0.1239427660483319, 0.112182251221554, 0.0710890857293133, 0.171790096377484, -0.232807710565709, 0.0484533198036486, 0.285575551622161, 0.0903545646858843, -0.196150947357125, 0.153433793716291, -0.182611669929704, -0.0764734759290267, -0.11476854517306, 0.123752713344572, -0.0450508612399066, -0.0560210844245325, -0.0288177473772422, -0.013762989416523, -0.0061454590388385, -0.205521939284196, -0.153982316582943, -0.139433642195314, -0.374340234021596, -0.115253372502818, -0.16513579870424, -0.046211673645044, -0.114031056875294, 0.320317870992061, -0.0357895080455386
25	0014-054	3	2414962	ἀρχή	ἀρχῆς	A	I	1	b	the beginning,	0.6084477000245448, -0.4304660964632893, -0.4304660964632893, 0.4896083603490883, 0.3202012734140111, -0.3521273410927767, -0.308020986158727, -0.1491949157539932, 0.4575341018137677, -0.093255314765623, 0.3125303403173122, -0.3742169781840281, 0.0847131781794556, -0.1522369799027748, 0.1248721023350486, -0.0683642576331894, -0.1027265376838855, -0.3411763304910718, 0.3446774193934261, 0.0237443038176448, 0.2180492922534328, 0.084686005366775, -0.3016485236416722, 0.0959521740221809, -0.3780883834921899, -0.0615808615164466, 0.2195994755974895, 0.5213171625828356, -0.2299552600922597, -0.2952413930503512, 0.0019436376587417, 0.1622346092540436, 0.1789242893550012, 0.4972080842022318, 0.0767677079034034, 0.0954216435340274, -0.0755597230086043, -0.2350473548808257, 0.2042245732176007, -0.1267421282283755, -0.0643402731465505, 0.3094821284821233, -0.1231041300562091, 0.0184747433654354, -0.0013176128123347, -0.1289826844100058, 0.1768408788426072, -0.1200044824200182, 0.1062094653896797, -0.0508933423093056, 0.0473241533868906, -0.0134413606011553, -0.050758501111401, -0.0215727601575268, -0.1620263979295486, -0.0586475137160396, -0.0392165049929593, -0.082437313772654, -0.1795753727633578, 0.2600041493538961, -0.1976313524806356, -0.0467229034211048, 0.0504501093844318, 0.216832891521524, -0.3054937658310832, -0.0968858179506471, 0.195912406720356, 0.000911720408200748, -0.0400780319595983, 0.0379099663640178, 0.1869332876096124, -0.1636357004556448, 0.119573150607301, 0.1618158314762239, -0.0973076027543261, 0.0197234060357405, 0.0254437840990529, -0.0915951711863764, 0.0647985296557321, -0.0801275317914509, -0.0357580734041441, -0.1631445049541272, 0.0663891907049385, 0.1146608697035135, -0.0329801219188678, 0.2166671503412611, 0.0064452175848069, 0.0232111793081433, -0.0576045392456519, 8.137290174790373e-06, 0.0420356753205968, 0.0670337255588079, -0.0718344955897061, 0.0425997607948413, -0.1096589503325034, -0.1282871789868745, -0.1533687564934302, 0.0582333870037207, -0.0856876282346374, 0.1083460974381923
26	0014-057	25	2426441	ἀρχή	ἀρχὰς	A	II	3	a	magistracy, office,	0.5839177149740602, -0.4189794589370582, -0.4189794589370582, 0.5212684310243192, 0.0917107460197294, -0.0810483417170226, -0.3323311164260035, 0.0567258808602998, 0.0248967112834377, -0.0489295290386161, 0.3321949805654686, -0.3751794402176595, -0.0375154604594308, -0.0175593387997153, 0.1449321698133722, -0.0168215200166249, 0.1306607276753415, -0.047376009367978, 0.1977930768226145, 0.0219908253556603, 0.118946315405492, 0.2980924672641006, -0.0257206078159322, 0.0838227137044541, -0.0403965848741855, 0.2578716967296087, 0.001493299529691, -0.1666389988506212, 0.0334223126812109, -0.2135213073178595, -0.2734387390293702, -0.2188376000422808, 0.0177669230438303, 0.0817755868525752, -0.1760140544159038, -0.2594995338946989, -0.044223933166953, 0.0662399725414264, -0.0895597115090563, 0.0593371516551344, -0.0176884575281733, 0.1604826825973773, 0.0924467276192664, 0.0287698695879186, 0.0280517686930285, -0.0098078911304202, 0.0759057836237741, 0.0207726365712111, 0.0031144790726467, -0.1506718338054993, -0.1492419244122398, 0.0489695396289441, -0.1151174327213831, -0.1077247809263311, -0.0243931683957042, -0.1159457368244471, 0.1528456601932701, 0.0585540496615923, -0.0612037427778024, -0.1146371570176945, -0.0301398447299795, -0.1346848215040249, -0.0602170839107966, -0.0465055378906474, 0.0746067172289745, -0.0018302297606926, 0.0890206083363807, 0.0050664867032448, -0.3060068946585427, -0.0607556218489311, 0.085243504961992, -0.1246089020043853, 0.0879767529158989, 0.0044848793154149, -0.0640432722382714, 0.0142487823666083, 0.0668151043029778, 0.000412022644177719, 0.0399704625141947, 0.0455984101123698, -0.0671056258944669, -0.0811626912404129, 0.0236715412401715, -0.2114748921166814, -0.0346397217707565, 0.1648539112188769, -0.0402791879138123, 0.0349422177244942, -0.0365260976856451, -0.0058606404559784, -0.0957299319818134, -0.0592633143666706, 0.1062971192586294, 0.0270430052623335, 0.0328688139155337, -0.1688018742931364, 0.0409492366415182, -0.0365646388604429, -0.0989132506425569, 0.0394902704687622
27	0014-059	72	2441065	ἀρχή	ἀρχήν	A	II	3	a	magistracy, office,	0.145233195513838, -0.547660244955729, -0.547660244955729, 0.214618428165018, 0.1554727642248, -0.145120428992475, 0.0778189789996674, -0.636687516065772, 1.04049385386955, -0.338202894907271, 0.240838679794552, -0.47700099636527, -0.145496719216675, -0.127913634064345, 0.0198900904379256, 0.346089395486804, 0.295509351733951, -0.501182571398749, 0.573985968310389, -0.313449245497411, 0.292292362091015, -0.1140374447536469, -0.122963197850864, 0.106897955046243, -0.691608973219732, -0.2863843002525, 0.060742630274585, 1.27014426545046, -0.640491917696105, -0.630935462951644, 0.2306960412427009, 0.312685707464164, 0.479687355580037, 0.956109859976076, 0.2262045162434789, 0.629219226275955, -0.194243184914863, -0.507371503679859, 0.594409662721794, -0.0804480342159267, -0.0936970593894223, 0.352249696649434, -0.189595951206318, -0.370803966522439, -0.136102242366986, -0.4163945086400629, 0.380514117844471, -0.423897270351965, 0.1221157576438699, 0.0638670701724803, 0.387406887411337, -0.281206455588034, 0.0013124920475063, 0.0601616247234214, -0.347897544865883, 0.19282990597921, -0.116033044484762, -0.135829186027675, -0.509756531699559, 0.510282485174707, -0.058659942716761, 0.177344209468975, 0.143026945288846, 0.422616589369591, -0.391927016381285, 0.123774993441806, 0.251993548440349, 0.0973760013318371, -0.202252600058683, 0.134870751427179, 0.13680672168787, -0.173764600403696, 0.190626055899473, 0.312086097006447, -0.105652762098074, -0.0796021234238944, 0.106332184961796, -0.2373380245806389, 0.0937946821809615, -0.236032944713574, -0.047587069961601, -0.125707118563903, 0.0921227713765651, 0.317801610804036, 0.0027297042158307, 0.07564717320728, -0.0710781279182707, -0.199541409591021, -0.205928343965892, -0.0492217548849465, 0.109726392767525, 0.0723464541409311, -0.226480169398028, -0.121515121329954, -0.211825703304582, -0.0758643678595452, -0.2218279878086709, 0.249678421452321, -0.156556917234715, 0.0657425582668483
28	0559-012	84	4488531	ἀρχή	ἀρχὰς	A	I	3	a	end, corner,	0.0226273285899339, -0.0787604655031522, -0.0787604655031522, -0.0281755291370109, -0.0039930187072084, 0.0122719437546353, -1.95072238526868e-06, 0.0340881298256243, 0.0211795878212053, 0.0190979178287116, -0.0595215482596263, 0.038750693486843, -0.0083221302112194, -0.0284375566413052, -0.029581664323066, -0.0472115795788838, 0.0337444922082281, 0.0630599990447513, 0.0194521097203493, 0.0309208352934075, 0.0523075102206971, 0.0389938781315077, 0.0056638399763952, -0.000244712961272673, 0.0417098130648609, 0.0014462793251077, -0.0113222126800461, 0.0010101524829625, -0.0490661672300317, -0.0185204253146326, 0.0161723493767055, -0.0338693348012784, 0.0265053520794668, 0.0245308613197684, -0.0588335936992387, 0.0426137215062457, 0.0181110123088479, -0.0184636126845112, 0.060360050234094, -0.029840574790136, -0.0320797983255016, 0.0251789566386892, -0.0060463687477564, 0.0033912965675052, -0.0477435379623396, -0.0420194765855704, -0.0014498165112792, -0.0166572109944825, -0.0164787874329515, 0.0504909558350924, -0.0161209856379505, 0.0437648535723815, -0.0578288260839146, 0.0220832188038523, 0.0117642635654109, -0.0200266576064822, -0.030550958624601, -0.0377125862582214, -0.0455797622008023, 0.0038833555450642, -0.0091234514783288, 0.0174845161635847, 0.0135339374060935, 0.0108373974228902, -0.0246059279111515, -0.0562464557857782, -0.0107202181351174, 0.0405498283630456, -0.0289518589010831, 0.0436014655209283, 0.0715235582667704, 0.0401560370218287, -0.0063990173713175, 0.0213983280904375, -0.0325253766615394, -0.0251521923152051, 0.008008422860469, 0.0240673786359549, 0.0493882407453923, 0.0630250775333581, 0.0650922242294007, 0.0639104680050837, 0.0189252787754156, 0.0353475404212693, -0.0435038096685584, -0.0570835232964179, -0.0386780648246946, 0.0147948314186046, -0.0445425416586964, -0.0550747265276544, -0.0417396633324699, 0.0108041010998865, -0.0399282669553558, 0.0266290240096432, -0.0223906637488791, 0.000859187636030227, 0.0040589223369915, -0.000201907143900055, 0.0390936794596647, 0.0431732975001277
29	0627-008	9	4592665	ἀρχή	ἀρχέων	A	I	3	a	end, corner,	0.145233195513838, -0.547660244955729, -0.547660244955729, 0.2146184281650179, 0.1554727642248, -0.145120428992475, 0.0778189789996674, -0.636687516065772, 1.04049385386955, -0.338202894907271, 0.240838679794552, -0.47700099636527, -0.145496719216675, -0.127913634064345, 0.0198900904379256, 0.346089395486804, 0.295509351733951, -0.501182571398749, 0.573985968310389, -0.313449245497411, 0.292292362091015, -0.114037444753647, -0.122963197850864, 0.106897955046243, -0.691608973219732, -0.2863843002525, 0.060742630274585, 1.27014426545046, -0.640491917696105, -0.630935462951644, 0.230696041242701, 0.312685707464164, 0.479687355580037, 0.956109859976076, 0.226204516243479, 0.629219226275955, -0.194243184914863, -0.507371503679859, 0.594409662721794, -0.0804480342159267, -0.0936970593894223, 0.352249696649434, -0.189595951206318, -0.370803966522439, -0.136102242366986, -0.416394508640063, 0.380514117844471, -0.423897270351965, 0.12211575764387, 0.0638670701724803, 0.387406887411337, -0.281206455588034, 0.0013124920475063, 0.0601616247234214, -0.347897544865883, 0.19282990597921, -0.116033044484762, -0.135829186027675, -0.509756531699559, 0.510282485174707, -0.058659942716761, 0.177344209468975, 0.143026945288846, 0.422616589369591, -0.391927016381285, 0.123774993441806, 0.251993548440349, 0.0973760013318371, -0.202252600058683, 0.134870751427179, 0.13680672168787, -0.173764600403696, 0.190626055899473, 0.312086097006447, -0.1056527620980739, -0.0796021234238944, 0.106332184961796, -0.237338024580639, 0.0937946821809615, -0.236032944713574, -0.047587069961601, -0.125707118563903, 0.0921227713765651, 0.317801610804036, 0.0027297042158307, 0.07564717320728, -0.0710781279182707, -0.199541409591021, -0.205928343965892, -0.0492217548849465, 0.109726392767525, 0.0723464541409311, -0.226480169398028, -0.121515121329954, -0.211825703304582, -0.0758643678595452, -0.221827987808671, 0.2496784214523209, -0.156556917234715, 0.0657425582668483
30	0627-023	1.1	4693168	ἀρχή	ἀρχὴ	A	I	1	a	beginning, origin,	0.140245434342904, -0.52132864242822, -0.52132864242822, 0.333521355046843, 0.154132502668934, 0.0538880098396082, 0.149529407524682, -0.336378004512979, 0.525149797783565, 0.0603733567519481, 0.678404801282064, -0.637920569153974, -0.303022771315582, 0.0388562848070175, 0.300708201618217, 0.237477817736735, 0.269911805606178, -0.400428607109692, 0.410234599351375, -0.0642824767662242, -0.0680169380776763, 0.0380397278396539, -0.320285991020887, 0.0675161652738526, -0.258493630168237, 0.237857331794561, -0.289101588809637, 0.574647042476334, -0.3456358371005589, -0.479857349099725, 0.0437124842247618, 0.0253955560391913, 0.355624053073424, 0.444726318142984, -0.0082239011492548, 0.286154747147522, -0.134648494360342, -0.150619214869169, 0.302371010926117, -0.0301542936796808, 0.0209514759444976, 0.136562511917106, -0.0507354698775507, -0.264419042811341, -0.0766072273069228, -0.355684536582683, 0.0482074327453861, -0.11735275319849, -0.219772112908829, -0.182118086681703, 0.261748594155504, -0.316597004142393, 0.0524830952804333, 0.106383180837146, -0.302361617445274, 0.0164031710760361, 0.195991482394863, -0.0731049301915167, -0.480766593814821, 0.40832192414142, 0.329220850961746, 0.128651288910784, -0.142829029716294, 0.329545505250362, 0.0872638350239721, -0.0182782131583868, -0.255372912730686, 0.111255703261115, -0.265853914952009, 0.0816146497696956, 0.150242944048361, -0.412830337677977, 0.0466794977923444, 0.239105132191297, 0.13460896707465, -0.15684838908181, 0.601652252555558, -0.279115041523505, -0.0108948680271062, -0.174394249427069, 0.0089127948816018, 0.0584485584289476, -0.159788311917834, 0.243387127264101, -0.0719741677848189, 0.134843840776961, -0.0376207912748908, -0.380824704990636, -0.270634694741825, 0.246107782641687, 0.0187568911181629, 0.11464601654964, -0.0172812216253124, -0.0518544976815343, -0.254008357904409, -0.116491940465372, -0.223203040608673, 0.359296961770885, 0.0916429950958077, -0.0498026051480527
31	0010-021	120	5111866	ἀρχή	ἀρχήν	A	I	1	a	beginning, origin,	0.775430142652928, -0.666927534229441, -0.666927534229441, 0.612585384915666, 0.859056561875442, -0.413030896158815, -0.892906828047643, 0.000466609628446691, -0.2294298202420889, -0.156847333782733, 1.08178642323303, -0.571291214779849, -0.526178425494436, 0.0892598872973193, 0.919810585228252, -0.788155493221548, 0.401153988479565, 0.3459846904498299, 0.088247965000489, 1.04899330889111, 0.0503259929498377, -0.0679919356590324, -0.556781487872713, -0.0840172359895629, 0.249381244782387, 0.886039297928403, 0.229677252604153, 0.190288120668348, -0.380770202742632, -0.0091503717272783, 0.0287638481972597, 0.277987960736539, 0.0204955227634615, 0.0056210391197611, 0.0553826799263915, -0.177193274910609, 0.283604574837561, 0.536661128387281, 0.0029847245956609, -0.458115674488594, -0.24240281130574, 0.0297232113466816, 0.581521805281648, 0.285081119059397, -0.0269296785831442, -0.0896837437996471, 0.498847341429845, -0.0217805447375331, 0.206969993931808, -0.0381349054410635, -0.174971157856899, -0.306127120611627, -0.189227295446114, -0.18528180024391, -0.412996681613127, -0.164502450905527, 0.198775681551152, 0.110251671562443, 0.231275537626109, -0.168068608631959, 0.276512056534025, 0.205745450294665, 0.18959993246539, -0.170852786430751, -0.0988413119753899, -0.37554929478674, -0.0470013542492758, 0.261429136237773, 0.104472884009355, 0.211026764108312, 0.157819842484404, 0.178637584778031, 0.271180663584118, 0.0821760037513783, 0.0876108360231214, 0.27595638929817, -0.175709133014488, -0.0721780591247253, 0.2567805038652, -0.0535601326719219, 0.0016389693677251, -0.139614946628265, 0.0980655507955648, -0.274051823542268, -0.0618616768659197, 0.289585941567346, -0.156048477955014, -0.0107073269850427, -0.196333089697865, 0.288276774719019, -0.186076014908816, 0.0579041863717575, -0.0994257140664105, 0.403716409823519, 0.272482796496893, -0.0065340301692916, -0.407695228235374, -0.0741131743881902, -0.0249206350513762, -0.108950246082041
32	0059-006	177	5876915	ἀρχή	ἀρχῆς	A	I	1	b	the beginning,	0.2870232602843508, -0.4361714925131578, -0.4361714925131578, 0.0426382521159951, 0.2831134899789246, -0.1734674060863536, -0.0201695056040334, -0.5577756162795238, 0.6864123577270912, -0.1599600777436241, 0.2231783448071218, -0.4520855788314303, -0.1160813884680833, -0.0350314936887968, -0.0390739918866469, 0.2268192028556803, 0.1909636541142179, -0.4670554657462303, 0.4115235642091154, -0.3306213994190508, 0.2618171587592765, -0.0791503691827527, 0.0354527123624723, 0.1550796387535461, -0.4235806680662441, -0.1904869861720533, 0.1094380506489502, 0.9371663091917743, -0.5728546171908521, -0.4451568870657341, 0.1948614035257426, 0.3580130081962376, 0.2737509611760486, 0.7071011487503972, 0.1401297598250299, 0.5157733093517328, -0.1644609692155684, -0.3485105745026887, 0.5425772362684577, 0.0048907746195965, -0.1159589428233656, 0.257196672675624, -0.2048614701899093, -0.2901762184608322, -0.1171107999135229, -0.3130221291154621, 0.2397293481414421, -0.3804389416880476, 0.1001887708143224, 0.0490648075863321, 0.2960884328431722, -0.1935566359140242, -0.036812887769169, 0.0013145658217864, -0.3371816678167297, 0.1720492230063104, -0.1436046524489838, -0.1234758879649234, -0.3119067794297442, 0.3839861356214343, 0.0319375890034697, 0.0967904496863375, 0.088728116656883, 0.3051549316905239, -0.2936635683962825, 0.1597847070052025, 0.213994822597314, 0.030072145594076, -0.1678639665730138, 0.0765908571899512, 0.0813032644084636, -0.213970325261852, 0.1335945466571271, 0.2692145797721568, -0.0325094753259036, -0.136006154926832, 0.1428857629415682, -0.1069740179537205, 0.0481207817914026, -0.0713691669256284, -0.1066235054012346, 0.1024442838930709, 0.0818647684632877, 0.2453143918870259, 0.0195404144653316, 0.0877982066184219, -0.0115842787083768, -0.1202031564989364, -0.1921954899831567, -0.0228169829967561, 0.0824046417213872, 0.076239805322229, -0.1405164221108605, -0.157034389161406, -0.0975617588089358, -0.0723532447061172, -0.1658963312667712, 0.1802469817475914, -0.0720973485045627, 0.1147003534686166
33	0059-006	206	5888272	ἀρχή	ἀρχῆς	A	I	1	b	the beginning,	0.123495369560357, -0.303053073233508, -0.303053073233508, 0.15707201872984, -0.140252806005208, 0.1153265046072409, -0.0222349590894659, -0.0108047343216802, 0.0345213944401057, 0.119402408141229, 0.368287559230361, -0.364811370969031, -0.191653219874886, 0.0707880687503305, 0.09826493009526, 0.116057482273396, 0.131017149574715, 0.168003027428621, 0.0290341097034175, -0.0027149249564958, 0.0831803067909276, 0.199554173884484, 0.0356133297302303, -0.0249709591424976, 0.331722104077767, 0.0630433415078114, -0.227923532114761, -0.0254937902217573, 0.0109953373269144, -0.0999129278642786, -0.111292079433812, -0.104473052167458, 0.0945895785519173, 0.0339116222066056, -0.148102795031153, 0.0259856442970491, 0.0536715749955085, 0.0868632848713493, 0.196288895907949, 0.0369934068445831, -0.0084284675935454, -0.0750392574629946, 0.0428585657157444, 0.0846341181602728, 0.0724466490095794, -0.0395401529866426, -0.0865003357558063, -0.0421072152841009, -0.0839350810781248, -0.096178601995197, -0.0584804589393583, 0.00012479627555913, 0.0361692831122625, 0.0375716192253286, -0.0580873684476721, -0.0603778438223022, 0.0713609882348865, 0.0068144647672506, -0.0518829860164589, -0.0056301637551762, 0.0491977815362452, 0.0594556752602461, -0.0868954728564868, 0.000717342078567643, 0.18277504784716, 0.0316017443704365, -0.0457475599923372, 0.0412371426520753, 0.102945289620642, -0.0255731440291655, -0.0478833789017613, 0.0195278325717173, -0.0340015540259406, -0.0241311772301998, -0.0349427226095491, -0.0554969322853077, 0.0942718822890071, -0.1231539581504299, 0.00405573406294, 0.0479691539670574, -0.032338530707401, 0.028968570309612, 0.0176194132180702, -0.0847122715897291, 0.0475578555276379, -0.0054716331863238, 0.0724116838116019, 0.0056751270512648, 0.0333905813693875, -0.0185416600598817, -0.0205456437638971, -0.0396134385495615, 0.0933544994488915, 0.0370068527721288, 0.0490709695479771, -0.0210302957881944, 0.0445412330520956, -0.0796514301473885, -0.0396298795476375, -0.0481507956151535
34	0059-023	478	6109250	ἀρχή	ἀρχήν	A	I	1	c	to begin with, at first,	0.133308808757939, -0.31465268383713, -0.31465268383713, 0.175310400414662, -0.132426416927338, 0.0604367613846319, -0.0095734626765518, -0.0465342347814595, 0.0684729485088433, 0.157222348035503, 0.465804486057208, -0.381446068523498, -0.219752120730047, 0.0190372284117577, 0.176929234387707, 0.0892185286788916, 0.1902924232498949, 0.0918947045064148, 0.102398893816495, -0.0579549453817868, 0.123977454398429, 0.208660649259182, 0.0050450949368397, -0.0578304455503323, 0.324745100755226, 0.0199248233732112, -0.2934658966447679, 0.0191190649380274, 0.051053829108306, -0.193303945639302, -0.0979286800222537, -0.127222409243946, 0.172580091773543, 0.0429621982480316, -0.143694930559421, 0.0298532584912977, 0.0395819256564066, 0.0508833169485313, 0.201880061463169, 0.0833964484464266, 0.0747844024815587, -0.0659642179415239, 0.123228846643644, -0.0561270584201168, 0.0533045419899888, -0.104637069100477, -0.181450499271962, -0.0768785006846534, -0.122473830455642, -0.0922519848132917, 0.0692198745276881, -0.0107857468605842, 0.0797523979205632, -0.0194300715893311, -0.0601853566671028, -0.110440064132402, 0.137223302413472, -0.0143095638029304, -0.109063273649293, 0.0217722567934759, 0.100237639627817, 0.0323053977768314, -0.098697384227838, 0.0096171793830232, 0.212545733731263, 0.0469448682628939, -0.139630079697944, 0.0251118557944495, 0.0666452465527499, -0.0313071906347387, -0.0295166881779557, -0.0800103112297259, -0.0487194017743996, -0.0992100074302698, -0.0189225770134757, -0.0659186856087148, 0.142916950655793, -0.0982324759839696, -0.0492104705343082, 0.0140384586994005, -0.0405084020289338, 0.0695653964534394, -0.0632130646838998, -0.0348101656326936, 0.0429758224660876, 0.0029577740062903, 0.0678582321006238, -0.0980230675843342, 0.010851169743867, -0.0156837244199579, 0.000820427919819205, -0.0616510804275959, 0.173614491740316, 0.0637382226751521, 0.0321867018028671, -0.0147281842930396, 0.0943065911910676, -0.0696004001178522, 0.013084211801907, -0.110782426908356
35	0059-030	450	6211101	ἀρχή	ἀρχῆς	A	I	1	b	the beginning,	0.212155103202517, -0.586522368858105, -0.586522368858105, 0.346958116948093, 0.144061472894176, 0.0932376106617982, -0.030054411985849, -0.0379134190811263, 0.18432516165417, 0.174750343292844, 0.648670935771105, -0.573716271082028, -0.283211878195728, 0.115102369791515, 0.270795642497389, 0.0911654081123688, 0.225701591957405, -0.1890778827799439, 0.22435023697581, 0.0874269615292279, -0.026866757276127, 0.152037539677467, -0.165042550103151, -0.17330707052812, 0.183872552982177, 0.284892665799234, -0.333964872628897, 0.13660838764736, -0.195344049646747, -0.148447876746892, -0.14873664571675, -0.132902140868111, 0.1425378760072, 0.106511559003718, -0.0850531673958059, 0.0321227837133937, 0.0628626130533631, 0.0826190616371197, 0.0290732523111962, 0.0367197160413233, -0.0348432973377747, -0.018410934626092, 0.118969699302168, -0.144066783948218, 0.135127992388065, -0.0490415825038038, -0.190398584355682, -0.0567508576950238, -0.115818822241422, -0.183294961310829, -0.0049029082483096, -0.0404316215149353, 0.0631252017828615, -0.059417584177784, -0.0598951238782089, 0.0412311951484371, 0.221615034690908, 0.106470541482504, -0.189685353894237, 0.0570664798304255, 0.107758136707708, 0.0259793487685791, -0.0782872868613084, 0.153929050600621, 0.157497771767732, 0.0309505766214094, -0.175333640161504, 0.0771376863395381, -0.135491935671781, 0.0255413709128261, 0.0417841362933191, -0.150606203312542, -0.0370231491488884, -0.0989882406660281, 0.0100716418077005, 0.0358675530018934, 0.1226461832114179, -0.130621684745606, 0.0666313263980401, -0.0608611697896919, 0.0640912942250197, -0.0394921260989237, -0.057914964030981, 0.081416606553787, -0.011299480305933, 0.035071914183967, -0.0573404853099622, 0.0486129806716604, -0.0419990108156907, 0.0756839479606905, -0.0572170875253784, 0.0071462285547207, 0.0553302404925742, 0.0628982462227947, -0.0063771958650388, -0.0113846063405774, 0.0290062711121901, 0.0116784933362804, -0.0206514371027441, 0.0289867024390402
36	0059-031	36	6277678	ἀρχή	ἀρχὴν	A	I	1	a	beginning, origin,	0.6069034623892646, -0.6102351278986433, -0.6102351278986433, 0.3463437076252035, 0.2565690819046413, 0.0709296562779165, -0.4768437162688478, 0.0035350185451524, -0.0241254046215429, -0.0485997712144787, 0.3571609494891216, -0.2860321563071666, -0.1886764918767581, -0.0722119599642938, 0.224227487183369, 0.1468237300760239, 0.016026068598794, -0.092113417667636, -0.0331673292947765, 0.0723440826675675, -0.0355800137253641, 0.2442960590057573, -0.1526972089634491, 0.0359436374687235, -0.0305653744483798, 0.1735709316501874, 0.0486793277301911, -0.2131929082478103, -0.0788647074967491, -0.0889681446646068, -0.2094793589663214, -0.2234856536176304, -0.0494898653362064, 0.2389827546630928, -0.111460705413868, -0.241530839788175, -0.0150941108776577, 0.0041952995711408, -0.2865548045731399, 0.0103242629268801, 0.0632066679574285, 0.1124783663547221, 0.0213874721877733, 0.0189188435253653, 0.0842534782807284, -0.011329086828093, 0.0904140468059918, 0.0367152744547838, -0.0516462186606729, -0.12363027772857, -0.1032861607975563, 0.0568289168815556, -0.1405862201142701, -0.0849788818413433, 0.0870776641759645, -0.0073398962264377, 0.056840528495506, 0.1462151600284356, -0.123599052600885, -0.0638429831900851, -0.1646730109113913, -0.1909053743657482, 0.0217018681088331, 0.0657663755847654, 0.0105331592236095, -0.1165524703855863, 0.0359510475318958, 0.139333946141606, -0.1685310835068357, -0.0138436170784544, 0.2706203193811992, -0.1396278158755945, 0.1006388453756773, -0.001976105515245, 0.1122439259465572, 0.0930590439618212, -0.0836307041669023, -0.0064048243238411, 0.0429750438233453, -0.153355348175768, -0.0390087473401284, 0.0254154558631969, 0.0964073469916989, 0.0177754501828362, 0.0462621960279782, -0.0125359930367004, 0.0083010431329886, 0.0575578221240592, 0.1117374284794355, 0.007998444949233, 0.0762623735816848, 0.098194552860999, 0.009204654506291, 0.0473304462699468, 0.0043505411740861, -0.0607083554463883, -0.1217687839826914, -0.0672551792331754, -0.0765547697785201, 0.0549584005412418
